"group","album","id","First_.lp._release","release_date","month","Selfdetermination","style","language","Language_2nd","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","City","sex","region","longList","image","ID.на.сайту.Аристократов","Ссылка.на.группу","listen"
"044 Rose","ROSE 044","sing1","","15.11.2019","nov","hip hop pop","hip hop & rap","російська","","*","*","","*","*","*","*","*","Київ","чоловіча","Центр","Інші альбоми","https://fastfoodmusic.com/wp-content/uploads/2018/11/dGwSYqB7D_w.jpg",20417,"","https://soundcloud.com/044klan/sets/044-rose-rose-044"
"1914","The Blind Leading The Blind","sing2","","11.11.2019","nov","death\doom metal","metal","англійська","","*","*","*","*","*","*","*","*","Львів","чоловіча","Захід","Інші альбоми","https://f4.bcbits.com/img/a3668139661_10.jpg",20353,"https://www.facebook.com/1914band/","https://x1914x.bandcamp.com/album/the-blind-leading-the-blind"
"2sleepy","For The Next Day","sing4","","22.11.2019","nov","electronic","electronic","немає","-","*","*","","*","*","*","*","*","Київ Krakow Brooklyn","чоловіча","Центр","Long list","https://liroom.com.ua/wp-content/uploads/2018/11/2-2-500x500.jpg",20354,"https://www.facebook.com/2sleepy.band/","https://soundcloud.com/2sleepy/sets/2sleepy-for-the-next-day-private"
"2sleepy","For The Next Day","sing3","","22.11.2019","nov","electronic","electronic","немає","-","*","*","","*","*","*","*","*","Київ Krakow Brooklyn","чоловіча","Закордон","Long list","https://liroom.com.ua/wp-content/uploads/2018/11/2-2-500x500.jpg",20354,"https://www.facebook.com/2sleepy.band/","https://soundcloud.com/2sleepy/sets/2sleepy-for-the-next-day-private"
"8X8","New Data New Day","sing5","","01.12.2019","dec","Psychedelic","rock","англійська","","*","","","*","*","*","*","*","from duo of Lane Steinberg (NYC, US) and Alex Khodchenko (Kiev, Ukraine)","чоловіча","Закордон","Інші альбоми","https://rock.ua/rockdb/i/cd/full/1174-new_data_new_day.jpg",20361,"https://www.facebook.com/8X8theband/","https://www.youtube.com/playlist?list=OLAK5uy_nuqq_aKGvDdEFXuI7mNje0sV7evtSXzGY"
"8X8","New Data New Day","sing6","","01.12.2019","dec","Psychedelic","rock","англійська","","*","","","*","*","*","*","*","from duo of Lane Steinberg (NYC, US) and Alex Khodchenko (Kiev, Ukraine)","чоловіча","Центр","Інші альбоми","https://rock.ua/rockdb/i/cd/full/1174-new_data_new_day.jpg",20361,"https://www.facebook.com/8X8theband/","https://www.youtube.com/playlist?list=OLAK5uy_nuqq_aKGvDdEFXuI7mNje0sV7evtSXzGY"
"Advokaty","23:45","sing7","*","30.03.2019","mar","alternative rock","rock","російська","","*","*","*","","*","*","*","*","Київ","мікс","Центр","Long list","https://rock.ua/rockdb/i/cd/full/1050-2345.jpg",20181,"https://www.facebook.com/advokaty.official/","https://soundcloud.com/advokaty/sets/2345album"
"Aero Benin","Aero Benin","sing8","*","07.09.2019","sep","psychedelic pop","indie","англійська","fr","*","*","*","*","*","*","*","*","Київ","чоловіча","Центр","Long list","https://f4.bcbits.com/img/0014279796_10.jpg",20182,"https://www.facebook.com/aerobenin/","https://aerobenin.bandcamp.com/album/aero-benin"
"AGHIAZMA","Plus Ultra","sing9","*","23.11.2019","nov","post-punk, goth-rock, industrial metal influenced","rock","англійська","","*","*","","*","*","*","*","*","Київ","мікс","Центр","Інші альбоми","https://toloka.to/photos/181124150853804752_f0_0.jpg",20374,"https://www.facebook.com/aghiazma/","https://play.google.com/store/music/album/AGHIAZMA_Plus_Ultra?id=Byrczshw7pbplj7azsmyf6va3eq"
"Alex Demian","Зорі в неоні","sing10","*","20.06.2019","jun","pop","pop","українська","","*","*","","*","*","*","*","*","Київ","чоловіча","Центр","Інші альбоми","https://images.shazam.com/coverart/t406916381-b1398941960_s400.jpg",20183,"https://www.facebook.com/AlexDemianMusic/","https://itunes.apple.com/ua/album/%D0%B7%D0%BE%D1%80%D1%96-%D0%B2-%D0%BD%D0%B5%D0%BE%D0%BD%D1%96/1398941791?app=music&ign-mpt=uo%3D4"
"Alex Zakharchuk","ЖИВЕМ ОДИН РАЗ","sing244","*","15.05.2019","may","pop","pop","російська","укр","*","","","*","*","*","*","","Київ","чоловіча","Центр","Інші альбоми","http://vinyla.com.ua/files/products/alex-zakharchuk-zhivem-odin-raz.800x700.jpg?1d6952fc939f85a104853c75f447208c",20184,"https://www.facebook.com/zakharchukofficial/?eid=ARAEMUXcEAb_r90__2KNgyr7D3q_tQt7Av-EfesxnCKhbLrei3bCsrV7x_AW9-NDfqgJ-cfIIQ2V1hym","https://www.youtube.com/watch?v=yzfFLyoL72M&feature=youtu.be"
"Amphibian Man","No Surfers In My Town","sing11","","23.11.2019","nov","surf rock","rock","англійська","","*","*","*","*","*","*","*","*","Київ","чоловіча","Центр","Інші альбоми","https://f4.bcbits.com/img/a0533825538_10.jpg",20398,"https://www.facebook.com/amphibianmansurf","https://soundcloud.com/user-210549985/sets/no-surfers-in-my-town"
"Andrey Chmut","Smoothability","sing12","*","02.07.2019","jul","jazz","jazz","немає","-","*","","","*","","","","","Київ","чоловіча","Центр","Long list","https://images-na.ssl-images-amazon.com/images/I/710YwOmMLQL._SL1400_.jpg",20185,"https://www.facebook.com/andrey.chmut.3","https://itunes.apple.com/ru/album/smoothability/1388690133"
"Anna Mia Quintet","Miasophy","sing13","*","16.11.2019","nov","new jazz","jazz","англійська","укр","*","","*","*","*","*","","*","Київ","жіноча","Центр","Long list","https://fancymusic.ru/wp-content/uploads/2012/12/Cover50080.jpg",20362,"https://www.facebook.com/annamiamusic","https://itunes.apple.com/ru/album/miasophy/1439603670"
"Anton Belov","Piano Works I","sing14","*","30.11.2019","nov","instrumental","instrumental","немає","-","*","","*","*","*","*","*","*","Київ","чоловіча","Центр","Long list","https://f4.bcbits.com/img/a1868104046_16.jpg",20310,"https://www.facebook.com/antonbelovmusic/","https://antonbelov.bandcamp.com/album/piano-works-i"
"Artem Bemba","Airways","sing15","","10.02","feb","psychedelic","electronic","немає","-","","*","*","","","","*","","Львів","чоловіча","Захід","Інші альбоми","https://1.bp.blogspot.com/-2IgbmtpiygU/Wn8iR7hnssI/AAAAAAAAFDw/U0UzlSv0avQ4bNsa2WKcdC_-VVT_q3wkQCLcBGAs/s320/folder.jpg",20186,"https://www.facebook.com/artembembamusic/?__tn__=K-R&eid=ARD3Tu-22McN_lKDumwZsP8N7wz0pkRhfZPkfliy442BYIwSkXbkVC1SA-Ikg--FhQaXfcx4e4NGdKL_&fref=mentions&__xts__%5b0%5d=68.ARDctwBwkzcFgu6-t0pclniDnuoqscRcoIqjPq1PHpc_qk7lVSIE9WyNjg40Jcp4O_q3D0U3PXhT0XFr06rspcHuTF5AcShP9ugAPEhj-n1FJiabcMvyhAniRCWN3MfWJRQ_0lK0UbiHu5fFeromYhhLPz9eUTrdbMzZ1sOtD4lB1WsvWeqKXQ","https://artembemba.bandcamp.com/album/airways-2"
"Atomic Simao","Levitation Loom Four","sing16","","22.12.2019","dec","psychedelic jazz, instrumental","jazz","англійська","","*","*","*","","*","*","*","*","Київ","чоловіча","Центр","Long list","https://karabas.live/wp-content/uploads/2018/12/47345209_369567920464006_630201534889590784_n.jpg",20187,"https://www.facebook.com/AtomicSimao/?eid=ARDDG--hd76BelOceMI0olGWfYMkPSOy30X5i93LC9-2dOezOU2__IvPG7FiNBGjrqNypHfQLO8EyJLS","https://atomicsimao.bandcamp.com/album/levitation-loom-four"
"Balaklava Blues","FLY","sing17","*","31.12.2019","dec","EDM guerrilla-folk","ethno","українська","eng","","*","","","","","","","Toronto","мікс","Закордон","Long list","https://static1.squarespace.com/static/55156657e4b0ae548a77b868/5a8d86f718b27d61deaf12f7/5c21c94e520149b87df7a2e1/1545718099480/",20407,"https://www.facebook.com/balaklavablues/?ref=br_rs","https://soundcloud.com/user-160332128/sets/fly"
"Banned society","Candy","sing18","","16.03.2019","mar","hip hop","electronic","англійська","","*","*","","*","*","*","","*","Дніпро","чоловіча","Схід","Long list","https://images-na.ssl-images-amazon.com/images/I/51kxZ2uCB%2BL._SS500.jpg",20188,"https://www.facebook.com/bannedsociety/","https://soundcloud.com/awsm_music/sets/candy"
"Barkasth","Decaying","sing19","*","24.06.2019","jun","Black Metal","metal","англійська","","","","*","","","","*","","Харків","чоловіча","Схід","Інші альбоми","https://f4.bcbits.com/img/a2291918888_10.jpg",20411,"https://www.facebook.com/Barkasth","https://barkasth.bandcamp.com/album/decaying"
"Bichkraft","800","sing20","","16.03.2019","mar","Bass Drum","rock","російська","eng","*","","*","*","*","*","*","*","Київ","чоловіча","Центр","Інші альбоми","https://f4.bcbits.com/img/a4238537535_16.jpg",20189,"https://www.facebook.com/bichkraft/","https://bichkraft.bandcamp.com/"
"Blooms Corda","Fog Lavender","sing21","","28.10.2019","oct","funk, jazz, indie","indie","українська","","*","*","","*","*","*","","","Київ","чоловіча","Центр","Long list","https://i1.sndcdn.com/avatars-000527218128-mqm07c-t500x500.jpg",20190,"https://www.facebook.com/bloomscorda/","https://soundcloud.com/blooms-corda/sets/fog-lavender-2018"
"BRAT","V$TAVЛЯЄ","sing22","","18.01.2019","jan","ne hip hop","avant-garde","українська","eng","*","*","","*","*","*","*","*","Львів","чоловіча","Захід","Інші альбоми","https://www.neformat.com.ua/images/imagecache/material_680w/releases/a2229912206_10_1.jpg",20191,"https://www.facebook.com/bratmusicua/","https://soundcloud.com/bratua/sets/vstavlyae2018"
"Bria Blessing & ShockolaD","Ivasyuk","sing23","","10.10.2019","oct","pop","pop","українська","","*","*","","*","","","*","*","Львів","мікс","Захід","Інші альбоми","https://direct.rhapsody.com/imageserver/images/Alb.330395506/500x500.jpg",20192,"https://www.facebook.com/briablessing/","https://itunes.apple.com/ua/album/ivasyuk/1438177358"
"BSxBC","Cave Canem","sing24","","07.06.2019","jun","Thrash/Death","metal","англійська","","*","*","*","*","*","","*","*","Київ","чоловіча","Центр","Інші альбоми","https://f4.bcbits.com/img/a1847245228_16.jpg",20193,"https://www.facebook.com/bsxbckyiv","https://bsxbc.bandcamp.com/album/cave-canem"
"BUNHT","OPEN","sing25","*","10.08.2019","aug","electronic","electronic","немає","-","","*","","*","*","*","","*","Київ","чоловіча","Центр","Інші альбоми","https://avatars.yandex.net/get-music-content/193823/e9134d5e.a.5647581-1/m1000x1000",20194,"https://www.facebook.com/BunhtOfficial/","https://soundcloud.com/b-u-n-h-t/sets/open"
"Cancel","Autumn","sing26","","02.10.2019","oct","instrumental hip-hop","hip hop & rap","немає","-","*","*","*","*","*","*","*","*","Львів","чоловіча","Захід","Інші альбоми",NA,NA,NA,NA
"Cancel band & DJ Shon","Movement","sing27","","09.08.2019","aug","instrumental hip-hop","hip hop & rap","англійська","","*","*","*","*","*","*","*","*","Львів","чоловіча","Захід","Long list","https://f4.bcbits.com/img/a1376510507_16.jpg",20195,"https://www.facebook.com/TheCancel/","https://thecancelmusic.bandcamp.com/album/movement"
"Cape Cod","Echoes","sing28","","28.09.2019","sep","electronic house","electronic","англійська","","*","*","","*","*","*","*","*","Київ","чоловіча","Центр","Long list","https://i1.sndcdn.com/artworks-000412022217-rrqn5f-t500x500.jpg",20196,"https://www.facebook.com/capecodband/","https://play.google.com/store/music/album/Cape_Cod_Echoes?id=Bvxmwjkwyzq6sjdmk6qw73stweq"
"CEPASA","Dark Beauty","sing29","","05.11.2019","nov","Electronic","electronic","англійська","","*","*","","*","*","*","*","*","Київ","чоловіча","Центр","Long list","https://toloka.to/photos/181220211919804752_f0_0.jpg",20197,"https://www.facebook.com/cepasaofficial/","https://soundcloud.com/cepasa/sets/dark-beauty-2018"
"CHSZM","Love","sing30","","16.04.2019","apr","experimental, avant-garde","avant-garde","немає","-","","*","*","","","","*","","Слов'янськ","чоловіча","Схід","Інші альбоми","https://www.neformat.com.ua/images/imagecache/material_680w/releases/a2850684743_10_0.jpg",20409,"https://www.facebook.com/alekseipodat?lst=100006621918722%3A100009141420034%3A1547052094","https://podat.bandcamp.com/album/love"
"CODÂNE","Реалізм","sing31","*","23.11.2019","nov","pop","indie","українська","eng","*","*","","","*","","*","*","Київ","чоловіча","Центр","Інші альбоми","https://toloka.to/photos/181123131836804752_f0_0.jpg",20198,"https://www.facebook.com/1codane/","https://soundcloud.com/0skwhchlxe00/sets/realzm"
"Coven","Black Dahlia (Dahlia Murder)","sing32","","05.02.2019","feb","Experimental, avant-garde, noise, dark","avant-garde","немає","-","*","","*","*","*","*","*","","Madrid","чоловіча","Закордон","Інші альбоми","https://images-na.ssl-images-amazon.com/images/I/61mMCTGV0XL._SS500.jpg",20399,"https://www.facebook.com/coven.project/","https://coven-project.bandcamp.com/album/black-dahlia-dahlia-murder"
"Cuckoo's Nest","tales of human being","sing33","","01.11.2019","nov","Atmospheric / Post Black Metal","metal","англійська","","","","*","","","","","","Миколаїв","чоловіча","Південь","Інші альбоми","https://f4.bcbits.com/img/a1268278301_10.jpg",20400,"https://www.facebook.com/cuckoosnestbm","https://cuckoosnest.bandcamp.com/album/tales-of-human-being"
"Daamage","Зло Употребляй","sing34","*","05.06.2019","jun","electro-pop","hip hop & rap","російська","","*","*","","*","*","*","*","*","Київ","чоловіча","Центр","Інші альбоми","https://i1.sndcdn.com/artworks-000356486577-jg6pue-t500x500.jpg",20199,"https://www.facebook.com/daamage.daamage/","https://soundcloud.com/daamage-daamage/sets/zlo-upotrebliay"
"DaKooka","Герой","sing35","","01.06","jun","trip hop","electronic","російська","","*","*","","*","*","*","*","*","Чернівці","жіноча","Захід","Long list","https://s.mxmcdn.net/images-storage/albums4/0/0/5/1/2/2/40221500_350_350.jpg",20200,"https://www.facebook.com/dakooka/","https://www.deezer.com/en/album/67055972"
"Danny Delta","НАВИДЖУ","sing36","","19.10.2019","oct","hip hop","hip hop & rap","українська","","*","*","","*","*","*","*","*","Нововолинськ","чоловіча","Захід","Інші альбоми","https://toloka.to/photos/181024120513804752_f0_0.jpg",20201,"https://www.facebook.com/deltazaurus","https://soundcloud.com/d_d3lta/sets/navidzhu-2018"
"Dark Side Trio","Old Bookcase","sing37","*","13.03.2019","mar","jazz","jazz","немає","-","*","","*","*","*","*","*","*","Дніпро","чоловіча","Схід","Long list","https://kyiv-online.net/wp-content/uploads/2018/05/afisha-kyiv-space-mk-dark-side-trio.jpg",20202,"https://www.facebook.com/trioDarkSide/","https://itunes.apple.com/ua/album/old-bookcase/1358849923?l=ru"
"Dead Faith","Mourning Star","sing38","","16.03.2019","mar","Techno-industrial","rock","англійська","","","","*","","","","","","Київ","чоловіча","Центр","Інші альбоми","https://f4.bcbits.com/img/a0988329775_16.jpg",20203,"https://www.facebook.com/deadfaithmusic/","https://deadfaith.bandcamp.com/album/mourning-star"
"Deadly Oak","Existential Crisis (Red Lust​-​Phobia)","sing39","","10.01.2019","jan","Dark, deep, electro wave, darkwave, witch house, avant-garde, dub.
","avant-garde","немає","-","*","*","*","*","*","","*","*","Madrid","чоловіча","Закордон","Інші альбоми","https://www.neformat.com.ua/images/imagecache/material_680w/releases/a4147764518_10.jpg",20388,"https://www.facebook.com/deadlyoak/","https://deadlyoak.bandcamp.com/album/existential-crisis-red-lust-phobia"
"Delta Arthur","Trappin in Ukraine","sing40","","25.04.2019","apr","Hip Hop / Rap","hip hop & rap","російська","eng","*","*","*","*","*","*","*","*","Київ","чоловіча","Центр","Інші альбоми","https://f4.bcbits.com/img/a2190904254_10.jpg",20421,"https://www.facebook.com/deltaarthur333000/","https://deltaarthur.bandcamp.com/album/trappin-in-ukraine"
"DETACH","D.R.A.M.A","sing41","","30.11.2019","nov","Alternative","rock","англійська","","*","*","*","*","*","*","*","*","Київ","чоловіча","Центр","Інші альбоми","https://toloka.to/photos/181129132257804752_f0_0.jpg",20204,"https://www.facebook.com/detachmusic/","https://itunes.apple.com/us/album/d-r-a-m-a/1441691011"
"DoZa","Shaman's movie","sing42","","10.01.2019","jan","psychedelic rock","rock","англійська","","*","*","*","*","*","*","*","*","Київ","мікс","Центр","Інші альбоми","https://images-na.ssl-images-amazon.com/images/I/51DcqgQ0atL._SS500.jpg",20205,"https://www.facebook.com/DoZaBand/","https://dozaband.bandcamp.com/"
"Drezden","""DREZDEN""","sing43","*","30.08.2019","aug","rock ","rock","російська","","*","*","","*","*","*","*","*","Київ, Minsk","чоловіча","Закордон","Інші альбоми","https://upload.wikimedia.org/wikipedia/ru/thumb/e/e8/Drezden_%28%D0%B0%D0%BB%D1%8C%D0%B1%D0%BE%D0%BC%29.jpg/270px-Drezden_%28%D0%B0%D0%BB%D1%8C%D0%B1%D0%BE%D0%BC%29.jpg",20206,"https://www.facebook.com/drezden72/","https://www.youtube.com/watch?v=h3OAyHLJjfo"
"Drezden","""DREZDEN""","sing44","*","30.08.2019","aug","rock ","rock","російська","","*","*","","*","*","*","*","*","Київ, Minsk","чоловіча","Центр","Інші альбоми","https://upload.wikimedia.org/wikipedia/ru/thumb/e/e8/Drezden_%28%D0%B0%D0%BB%D1%8C%D0%B1%D0%BE%D0%BC%29.jpg/270px-Drezden_%28%D0%B0%D0%BB%D1%8C%D0%B1%D0%BE%D0%BC%29.jpg",20206,"https://www.facebook.com/drezden72/","https://www.youtube.com/watch?v=h3OAyHLJjfo"
"Dronny Darko & Apollonius","The Sea of Potentials","sing46","*","22.09.2019","sep","dark ambient","electronic","немає","-","","*","*","","","","","","Київ, Eindhoven","чоловіча","Центр","Інші альбоми","https://f4.bcbits.com/img/a1502897231_10.jpg",20389,"https://www.facebook.com/dronnydarko/","https://dronnydarko.bandcamp.com/album/the-sea-of-potentials"
"Dronny Darko & Apollonius","The Sea of Potentials","sing45","*","22.09.2019","sep","dark ambient","electronic","немає","-","","*","*","","","","","","Київ, Eindhoven","чоловіча","Закордон","Інші альбоми","https://f4.bcbits.com/img/a1502897231_10.jpg",20389,"https://www.facebook.com/dronnydarko/","https://dronnydarko.bandcamp.com/album/the-sea-of-potentials"
"Drudkh","Їм часто сниться капіж","sing47","","09.03.2019","mar","Black Metal","metal","українська","","*","","*","*","*","*","*","*","Харків","чоловіча","Схід","Інші альбоми","https://f4.bcbits.com/img/a3778239288_16.jpg",20207,"https://www.facebook.com/Drudkh.Official/","https://drudkh.bandcamp.com/album/they-often-see-dreams-about-the-spring"
"Drunk Diver","Палеоліт","sing48","","23.10.2019","oct","sludge/grind/stoner","metal","немає","-","","*","*","","","","*","*","Львів","мікс","Захід","Інші альбоми","https://www.neformat.com.ua/images/imagecache/material_680w/releases/a2246908427_10.jpg",20395,"https://www.facebook.com/Drunk-Diver-1417516005159913","https://drunkdiver.bandcamp.com/album/-"
"Edward Sol & Stuart Chalmers","Syncopated Soundmirror","sing50","","30.07.2019","jul","","avant-garde","немає","-","","","*","","","","","","Київ","чоловіча","Центр","Інші альбоми","https://www.neformat.com.ua/images/imagecache/material_680w/releases/a1293727876_10.jpg",20403,"https://www.facebook.com/edward.sol.50","https://edwardsol.bandcamp.com/album/syncopated-soundmirror"
"E.K.A.","1","sing49","","08.11.2019","nov","","pop","українська","","*","*","","*","*","","*","*","Київ","жіноча","Центр","Інші альбоми","https://toloka.to/photos/181127165048804752_f0_0.jpg",20209,"https://www.facebook.com/E.K.AofficialEKA/","https://itunes.apple.com/ua/album/1/1441144305"
"Electric Pussy","Heroin","sing51","","15.05.2019","may","","metal","англійська","","","","*","","","","","","Черкаси","мікс","Центр","Інші альбоми","https://f4.bcbits.com/img/0013392964_10.jpg",20408,"","https://electricpussy666.bandcamp.com/album/heroin"
"Endless Melancholy","Fragments of Scattered Whispers","sing52","","09.11.2019","nov","Somewhat Music","electronic","немає","-","*","*","*","*","*","*","*","*","Київ","чоловіча","Центр","Інші альбоми","https://f4.bcbits.com/img/a1276297634_16.jpg",20208,"https://www.facebook.com/emelancholy/","https://endlessmelancholy.bandcamp.com/album/fragments-of-scattered-whispers?fbclid=IwAR3y8L-ONzITcxSYM3DFQ10RrTHxsbnd09LEDz2DVIMxD7kq0q_fTgDfgbg"
"Evgeny Khmara","The Wheel of Life","sing53","","23.10.2019","oct","Instrumental, neo classical music","instrumental","немає","-","*","","","*","*","*","*","*","Київ","чоловіча","Центр","Інші альбоми","https://images-na.ssl-images-amazon.com/images/I/51TXb6SkFfL._SS500.jpg",20355,"https://www.facebook.com/EvgenyKhmara/","https://itunes.apple.com/us/album/the-wheel-of-life/1436901178"
"Filin","Прокинься","sing54","","22.12.2019","dec","hip hop","hip hop & rap","українська","","","*","","*","","","*","","Біла Церква","чоловіча","Центр","Інші альбоми","https://i1.sndcdn.com/artworks-000462704160-gqr6su-t500x500.jpg",20419,"","https://soundcloud.com/user-635953154/sets/prokinsya"
"Foa Hoka","Fon - Fonogram - Fonissimon","sing55","","30.12.2019","dec","experimental","avant-garde","немає","-","","","*","","","","","","Чернігів","чоловіча","Північ","Інші альбоми","https://f4.bcbits.com/img/a1534782742_16.jpg",20379,"https://www.facebook.com/Foa.Hoka.Fanclub/","https://skprecords.bandcamp.com/album/fon-fonogram-fonissimon?fbclid=IwAR0HFBRBTuoGbCJTn6QgSRhXJCynUkDr32AOiHP0PaZSk3ek5RrV2fJGPd8"
"Folknery","Son","sing56","","15.05.2019","may","meditation electro-folk","ethno","українська","","*","*","*","*","*","*","*","*","Київ","мікс","Центр","Інші альбоми","https://i1.sndcdn.com/avatars-000444025386-t5v9ps-t500x500.jpg",20210,"https://www.facebook.com/folknery/","https://soundcloud.com/folknery/sets/folknery-son"
"Fontaliza","Фірмові рухи","sing57","","11.10.2019","oct","pop","rock","українська","","*","*","","*","*","*","*","*","Горлівка","чоловіча","Схід","Інші альбоми","https://notatky.com.ua/wp-content/uploads/fonta-firmovi-ruh-400.jpg",20211,"https://www.facebook.com/Fontaliza/","https://itunes.apple.com/ua/album/%D1%84%D1%96%D1%80%D0%BC%D0%BE%D0%B2%D1%96-%D1%80%D1%83%D1%85%D0%B8/1438423534"
"FRANCO","Тремор","sing58","","30.11.2019","nov","alternative rock","rock","українська","","*","*","*","*","*","*","*","","Київ","чоловіча","Центр","Інші альбоми","https://notatky.com.ua/wp-content/uploads/franco-trmor-400.jpg",20212,"https://www.facebook.com/francoband/","https://soundcloud.com/franco_band/sets/tremor"
"Freel","Спалах","sing59","","19.11.2019","nov","rap","hip hop & rap","українська","","*","*","","*","*","*","*","*","Київ","чоловіча","Центр","Long list","https://notatky.com.ua/wp-content/uploads/spalah-400.jpg",20213,"https://www.facebook.com/me.freel/","https://soundcloud.com/me-freel/sets/freel-spalah"
"Galafo x Симптом(НЖН)","VERUM","sing60","","22.06.2019","jun","hip hop","hip hop & rap","російська","","*","*","","","","","*","","Київ","чоловіча","Центр","Інші альбоми","https://i1.sndcdn.com/artworks-000363844701-h22ohd-t500x500.jpg",20214,"","https://soundcloud.com/simptomaponika/sets/galafo-x-simptomnzhn-verum-2015-2018"
"Gamardah Fungus","Crossing The Wasteland","sing61","","01.11.2019","nov","Ambient / Drone / Noir","avant-garde","немає","-","","*","*","*","*","*","*","*","Дніпро","чоловіча","Схід","Long list","https://f4.bcbits.com/img/a2531966832_16.jpg",20215,"https://www.facebook.com/GamardahFungus","https://gamardahfungus.bandcamp.com/?fbclid=IwAR3ctGdSIZPtH-wCj-HH1bFatczYY7ZZI9J4K_PbHINJzHhhT8lP7JZSQEI"
"Garden Krist","Change of State","sing62","","02.04.2019","apr","electro","avant-garde","англійська","","","*","","","","","","","Київ","мікс","Центр","Інші альбоми","https://www.neformat.com.ua/images/imagecache/material_680w/releases/0eqaetBxD_c.jpg",20216,"https://www.facebook.com/groups/garden.krist/?ref=br_rs","https://soundcloud.com/garden_krist"
