"group","album","id","First_.lp._release","release_date","month","Selfdetermination","style","language","Language_2nd","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","City","sex","region","longList","image","ID.на.сайту.Аристократов","Ссылка.на.группу","listen"
"Yuriy Seredin","Asylum Search","sing190","*","12.11.2019","nov","Jazz","jazz","немає","-","*","","","*","*","*","*","*","Київ","чоловіча","Центр","Long list","https://images-na.ssl-images-amazon.com/images/I/61avmspP3eL._SS500.jpg",20307,"https://www.facebook.com/yuriy.seredin","https://itunes.apple.com/de/album/asylum-search-feat-ben-van-gelder-igor-spallati-igor-osypov/1442107261?l=en&fbclid=IwAR3Tu9qVLDA0ARyxy6RfceNz9-rRd1lojxIsbdWiH-9jpcIRHx1bqKtMYiE"
"ZAVOLOKA","Promeni","sing191","","24.09.2019","sep","Electronica","avant-garde","немає","-","*","*","*","","*","","*","","Vienna","жіноча","Закордон","Long list","https://f4.bcbits.com/img/a1015221388_10.jpg",20308,"https://www.facebook.com/Zavoloka.Official/","https://shop.zavoloka.com/album/promeni"
"ZERNO","Егоїст","sing192","","16.02","feb","indie","rock","українська","","*","*","","*","*","","*","*","Житомир","чоловіча","Центр","Інші альбоми","https://luliq.com/wp-content/uploads/2018/02/artworks-000299676537-6ecca3-original-261x261.jpg",20382,"https://www.facebook.com/zernoband/?__tn__=K-R&eid=ARAtGUl_Z_1cfyesCp4r2W7AVlQ8SX4o7n9yM-8s51e4frMdQ-DHlUGhkU2LW3vMZ5H1TBFgp6hZSmT8&fref=mentions","https://soundcloud.com/zernoband/sets/egoistalbum"
"ZWYNTAR","Мертві голоси","sing193","*","14.12.2019","dec","Dark Country / Gothic Americana / Neofolk","country","українська","","*","","*","*","*","*","*","*","Київ","мікс","Центр","Інші альбоми","https://toloka.to/photos/181217213107804752_f0_0.jpg",20309,"https://www.facebook.com/zwyntar/","https://open.spotify.com/album/4MnljRdXRym3wG3GqBsYm2"
"Артем Кай","Доля","sing194","*","18.09.2019","sep","R&B/Soul","r&b and soul","українська","","*","*","","*","*","*","*","*","Київ","чоловіча","Центр","Інші альбоми","http://rs.img.com.ua/crop?v2=1&w=600&h=0&url=%2F%2Fv.img.com.ua%2Fb%2Forig%2F3%2Fcf%2Ff2c9b0328d154735e2a44d49fd454cf3.jpg",20311,"https://www.facebook.com/artemkaiofficial/","https://itunes.apple.com/album/id1436170862"
"БалансБiлого","На Балансі","sing195","","17.08.2019","aug","hip hop & rap","hip hop & rap","українська","","","*","","","","","*","*","Рівне","чоловіча","Захід","Інші альбоми","https://www.neformat.com.ua/images/imagecache/material_680w/releases/38494135_1806551662791277_3070537150010228736_n.png",20410,"https://www.facebook.com/balansbilogo","https://soundcloud.com/balansbilogo/sets/na-balans-s2018"
"Балдьож","красивый букет","sing196","*","20.10.2019","oct","instagram pop","pop","російська","","*","*","","*","*","*","*","*","Київ","жіноча","Центр","Інші альбоми","http://www.intermedia.ru/img/news/328870.jpg",20383,"https://www.facebook.com/baldiozh/?eid=ARDRpXs6EvkTWnkrKYQIBTGDJAB-XQ4tME2_My2bcGs1RxEszzmbdcftMXqahYmuRkQiLu-0vMYE34LC","https://soundcloud.com/baldiozh/sets/buket"
"Беz Обмежень","Буду з тобою!","sing197","","18.04.2019","apr","rock","rock","українська","","*","","","*","*","*","*","*","Мукачево","чоловіча","Захід","Інші альбоми","http://notatky.com.ua/wp-content/uploads/bo-lp-400.jpg",20384,"https://www.facebook.com/bezobmezhenua/","https://itunes.apple.com/ua/album/%D0%B1%D1%83%D0%B4%D1%83-%D0%B7-%D1%82%D0%BE%D0%B1%D0%BE%D1%8E/1372798155?l=uk"
"Брудні","Київ","sing198","*","23.11.2019","nov","rock","rock","українська","","*","*","","*","*","*","*","*","Київ","мікс","Центр","Інші альбоми","https://i.kfs.io/album/global/41387225,0v1/fit/500x500.jpg",20312,"https://www.facebook.com/brudnikyiv","https://soundcloud.com/brudni/sets/kyiv"
"Вагоновожатые","Референс","sing199","","18.11.2019","nov","dans/electro","electronic","російська","укр","*","*","*","*","*","*","*","*","Київ","чоловіча","Центр","Long list","https://www.buro247.ua/thumb/670x830_0/images/2018/11/vagonovozhatye-reference-album-3.jpg",20313,"https://www.facebook.com/vagonodrivers/","https://itunes.apple.com/ua/album/%D1%80%D0%B5%D1%84%D0%B5%D1%80%D0%B5%D0%BD%D1%81/1441136499"
"Ведмідь і Вухо","Сороміцькі пісні","sing200","*","05.09.2019","sep","rap & hip hop","hip hop & rap","українська","","","*","","","","","*","","Макіївка","чоловіча","Схід","Інші альбоми","https://i1.sndcdn.com/artworks-000399833100-ixidbz-t500x500.jpg",20314,"https://www.facebook.com/vedmidivuho/","https://soundcloud.com/vedmidivuho/sets/hic93xsopvxm"
"ВОЛОК","Смертный","sing202","","19.09.2019","sep","Neo-Folk","avant-garde","немає","-","","","*","","","","","","Сміла","чоловіча","Центр","Інші альбоми","https://f4.bcbits.com/img/a0479781356_16.jpg",20385,"https://www.facebook.com/VOLOK.res/","https://volok.bandcamp.com/album/--5"
"ВОЛОК","Хоровод","sing201","","16.05.2019","may","Neo-Folk","avant-garde","немає","-","","","*","","","","","","Сміла","чоловіча","Центр","Інші альбоми","https://www.neformat.com.ua/images/imagecache/material_680w/releases/a3283688473_10.jpg",20315,"https://www.facebook.com/VOLOK.res/","https://volokrecords.bandcamp.com/album/--4"
"Ворона","Звуки","sing203","*","16.11.2019","nov","pop","pop","російська","","*","*","","*","*","*","*","*","Київ","жіноча","Центр","Інші альбоми","https://images.shazam.com/coverart/t450768971-b1442002265_s400.jpg",20316,"","https://itunes.apple.com/ua/album/%D0%B7%D0%B2%D1%83%D0%BA%D0%B8/1442001964?l=ru"
"вышел покурить","никогда","sing204","","25.09.2019","sep","hip hop","hip hop & rap","російська","","*","*","","*","*","*","*","*","Одеса","чоловіча","Південь","Інші альбоми","https://muzonov.net/uploads/posts/2018-09/medium/1537956083_1537953823_cover.jpg",20386,"https://www.facebook.com/%D0%92%D1%8B%D1%88%D0%B5%D0%BB-%D0%9F%D0%BE%D0%BA%D1%83%D1%80%D0%B8%D1%82%D1%8C-132499760760065/","https://soundcloud.com/mld8nk/sets/nikogda"
"Гибкий Чаплинъ","Млекопитание","sing205","","22.11.2019","nov","alternative rock","rock","російська","eng","*","*","","*","*","*","*","*","Київ","чоловіча","Центр","Інші альбоми","https://i.scdn.co/image/88e1376f7816230a3c65e758d465b9cc601de9fb",20317,"https://www.facebook.com/gibkiychaplin","https://soundcloud.com/user-271314968/sets/mlekopitanie"
"Группа БУДУ","чашКачая","sing206","","01.03.2019","ar","rock","rock","російська","","","*","","*","","","","*","Київ","мікс","Центр","Інші альбоми","https://i1.sndcdn.com/artworks-000296731776-09ql2o-t500x500.jpg",20318,"https://www.facebook.com/buduband/","https://soundcloud.com/buduband/sets/chashkachaya"
"Гуцул Каліпсо","Най Бог Бороне","sing207","","21.11.2019","nov","folk rock","rock","українська","","*","","","*","*","*","*","*","Чернівці","чоловіча","Захід","Інші альбоми","https://toloka.to/photos/181121230210804752_f0_0.jpg",20319,"https://www.facebook.com/GutsulCalipso/","https://itunes.apple.com/ua/album/%D0%BD%D0%B0%D0%B9-%D0%B1%D0%BE%D0%B3-%D0%B1%D0%BE%D1%80%D0%BE%D0%BD%D0%B5/1442127964?app=music&fbclid=IwAR0SlAey5XOH4M-_sPMSAfJ693hrysVGNN6DeSHZEIhYU8oQUBY26bmR-Rw&ign-mpt=uo%3D4"
"Джонні Дивний | Wootabi.","Повний Абзац: Сторона ""А""","sing208","","12.11.2019","nov","hip-hop & rap","hip hop & rap","українська","","*","*","*","*","*","*","*","*","Рівне","чоловіча","Захід","Інші альбоми","https://i.scdn.co/image/173d91b21df6f856d3270dc64c3c92c1c96188ca",20320,"","https://soundcloud.com/price-of-da-rhythm/sets/dzhonn-divniy-wootabi-povniy-abzats-storona-a"
"Діля і Бєкіров","Молескін","sing209","*","27.04.2019","apr","pop rock","jazz","українська","eng","*","","","*","*","*","*","*","Харків","чоловіча","Схід","Інші альбоми","http://notatky.com.ua/wp-content/uploads/dilya-bekirov-moleskin-400.jpg",20321,"https://www.facebook.com/dilyacomua/","https://www.youtube.com/watch?v=MpHTlowrICg&feature=youtu.be"
"Довгий Пес","#СОЦІАЛЬНИЙАЛКОГОЛІК","sing210","","12.09.2019","sep","hip hop, rap","hip hop & rap","українська","","*","*","*","*","*","*","*","*","Львів","чоловіча","Захід","Інші альбоми","https://notatky.com.ua/wp-content/uploads/pes400.jpg",20322,"https://www.facebook.com/DovgiyPes","https://soundcloud.com/dovgiypes/sets/sotsalniyalkogolk"
"Дрофа","Keep Blossom In Your Head","sing211","","02.02","feb","hip hop, rap","hip hop & rap","англійська","","","*","","","","","","","Київ","чоловіча","Центр","Інші альбоми","https://i1.sndcdn.com/artworks-000296125134-06zcgb-t500x500.jpg",20323,"https://www.facebook.com/ddrofa","https://soundcloud.com/ddrofa/sets/keep-blossom-in-your-head-album"
"Елена Войнаровская","Метеозависимость","sing212","","08.09.2019","sep","art-rock","rock","російська","","*","*","*","*","*","*","*","*","Одеса","жіноча","Південь","Інші альбоми","https://f4.bcbits.com/img/a0638595134_16.jpg",20324,"https://www.facebook.com/e.voynarovskaya","https://elena-v.bandcamp.com/album/--4"
"Євген Могилевський","Сьома печатка Галілея","sing213","","27.12.2019","dec","folk funk","ethno","українська","","","*","","","","","*","","Київ","чоловіча","Центр","Інші альбоми","https://yt3.ggpht.com/a-/AAuE7mCZtjjOhZrQ4rVZUvC7Wofui-X_GnY0gnLvag=s900-mo-c-c0xffffffff-rj-k-no",20325,"https://www.facebook.com/evgenmogilevskyi/","https://soundcloud.com/evgenmogylevskyi/sets/y6tuevyzlo6r/s-TIPJm"
"Женя і Катя","Літаки","sing214","*","04.05.2019","may","synthpop, romantik indie","indie","українська","eng","*","*","","*","*","*","*","*","Вінниця","мікс","Центр","Інші альбоми","https://notatky.com.ua/wp-content/uploads/litaky-400.jpg",20326,"https://www.facebook.com/ZhenyaiKatyaOfficial/","https://soundcloud.com/zhenyaikatyaofficial/sets/2018-1"
"Змій Львівський","Ц. Є.","sing215","","15.02","feb","Rap","hip hop & rap","українська","рос","*","*","*","*","*","*","*","*","невідомо, десь закордоном","чоловіча","Закордон","Інші альбоми","https://f4.bcbits.com/img/a2635841894_16.jpg",20328,"https://www.facebook.com/aromotherapy","https://aromotherapyrecords.bandcamp.com/album/--10"
"Зэ Джозерс","Сложные Машинные Биты","sing216","","26.10.2019","oct","post-punk","rock","російська","укр","*","*","*","*","*","*","*","","Калуш","чоловіча","Захід","Інші альбоми","https://i1.sndcdn.com/artworks-000427741497-6dics2-t500x500.jpg",20327,"https://www.facebook.com/zejozers/","https://soundcloud.com/zejozers/sets/smb"
"Кашляючий Ед","Переклад","sing217","","21.06.2019","jun","rap","hip hop & rap","українська","","*","*","","*","*","*","*","*","Львів","чоловіча","Захід","Інші альбоми","https://i1.sndcdn.com/artworks-000363124155-ewwywb-t500x500.jpg",20329,"","https://soundcloud.com/glava94/sets/kashlyayuchiy-ed-pereklad-2018"
"Кімната Гретхен","Гравітанці","sing218","","06.04.2019","apr","indie","pop","українська","","","*","*","*","","","*","","Дніпро","чоловіча","Схід","Інші альбоми","https://notatky.com.ua/wp-content/uploads/gravitanzi-400.jpg",20330,"https://www.facebook.com/kimnatagrethen.band/","https://soundcloud.com/kimnata-grethen-40590427/sets/gravtants"
"Курган & Agregat","С.Ш.Р.","sing219","*","30.04.2019","apr","Hip-Hop/Rap","hip hop & rap","українська","","*","*","","*","*","*","*","*","Близнюки","чоловіча","Схід","Інші альбоми","https://i.kfs.io/album/global/34508267,0v1/fit/500x500.jpg",20331,"","https://itunes.apple.com/ua/album/%D1%81-%D1%88-%D1%80/1377618325?app=itunes&ign-mpt=uo%253D4"
"Луи Франк","Атлантида","sing220","*","31.01.2019","jan","pop","pop","російська","","*","*","","*","*","*","*","*","Zurich, Київ","чоловіча","Закордон","Long list","https://is2-ssl.mzstatic.com/image/thumb/Music118/v4/a3/0c/01/a30c0189-0a5c-c9de-79ae-a1720bad1298/5060268290037.jpg/268x0w.jpg",20332,"https://www.facebook.com/louisfranck.official/","https://itunes.apple.com/ua/album/%D0%BB%D1%83%D0%B8-%D1%84%D1%80%D0%B0%D0%BD%D0%BA-%D0%B0%D1%82%D0%BB%D0%B0%D0%BD%D1%82%D0%B8%D0%B4%D0%B0-feat-%D0%B4%D0%B8%D0%BD%D0%B0-%D0%BA%D0%BE%D1%80%D0%B7%D1%83%D0%BD-%D0%B8%D0%BB%D1%8C%D1%8F-%D0%B3%D0%B0%D0%BB%D1%83%D1%88%D0%BA%D0%BE/1343628387?l=ru"
"Луи Франк","Атлантида","sing221","*","31.01.2019","jan","pop","pop","російська","","*","*","","*","*","*","*","*","Zurich, Київ","чоловіча","Центр","Long list","https://is2-ssl.mzstatic.com/image/thumb/Music118/v4/a3/0c/01/a30c0189-0a5c-c9de-79ae-a1720bad1298/5060268290037.jpg/268x0w.jpg",20332,"https://www.facebook.com/louisfranck.official/","https://itunes.apple.com/ua/album/%D0%BB%D1%83%D0%B8-%D1%84%D1%80%D0%B0%D0%BD%D0%BA-%D0%B0%D1%82%D0%BB%D0%B0%D0%BD%D1%82%D0%B8%D0%B4%D0%B0-feat-%D0%B4%D0%B8%D0%BD%D0%B0-%D0%BA%D0%BE%D1%80%D0%B7%D1%83%D0%BD-%D0%B8%D0%BB%D1%8C%D1%8F-%D0%B3%D0%B0%D0%BB%D1%83%D1%88%D0%BA%D0%BE/1343628387?l=ru"
"Луна","Заколдованные сны","sing222","","24.10.2019","oct","pop","pop","російська","","*","*","","*","*","*","*","*","Київ","жіноча","Центр","Long list","https://t2.genius.com/unsafe/300x300/https%3A%2F%2Fimages.genius.com%2Feb6497928c8e7da2cb4d153126410f01.1000x1000x1.jpg",20333,"https://www.facebook.com/lunavokne/","https://itunes.apple.com/ua/album/%D0%B7%D0%B0%D0%BA%D0%BE%D0%BB%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%BD%D1%8B%D0%B5-%D1%81%D0%BD%D1%8B/1439087437?app=music&ign-mpt=uo%3D4"
"Любомир Мельник","Fallen Trees","sing223","","07.12.2019","dec","","instrumental","немає","-","*","*","*","*","*","*","*","*","Kingston","чоловіча","Закордон","Long list","https://toloka.to/photos/181124075905385484_f0_0.jpg",20334,"https://www.facebook.com/melnyk.lubomyr/","https://soundcloud.com/erasedtapes/lubomyr-melnyk-son-of-parasol"
"Мало","Як є","sing224","*","15.11.2019","nov","indie rock","indie","українська","","*","*","","*","*","*","*","*","Київ","чоловіча","Центр","Інші альбоми","https://notatky.com.ua/wp-content/uploads/malo_3000-1.jpg",20335,"https://www.facebook.com/malokyiv/","https://soundcloud.com/malokyiv/sets/yakye"
"Микола Макєєв","Бобот та енергія всесвіту","sing225","","02.11.2019","nov","soundtrack","instrumental","немає","-","*","*","","*","","*","","*","Київ","чоловіча","Центр","Інші альбоми","https://i1.sndcdn.com/artworks-000427464285-e74eja-t500x500.jpg",20394,"","https://soundcloud.com/rookodilla/sets/mikola-makv-bobot-ta-energya-vsesvtu-muzika-z-knoflmu"
"Миша","Мишtape #1","sing226","*","25.05.2019","may","Hip-Hop/Rap, R&B","hip hop & rap","російська","","*","","","*","*","*","*","*","Київ","чоловіча","Центр","Інші альбоми","https://e-cdns-images.dzcdn.net/images/cover/a86a5c6ddf3202f418cf9af8bb7b8c86/200x200-000000-80-0-0.jpg",20336,"","https://itunes.apple.com/album/1382192940?app=music"
"Наталя Мирна","Сильною буду","sing227","","09.06.2019","jun","Art-pop-dream","pop","українська","eng, рос","*","","","*","*","*","*","*","Львів","жіноча","Захід","Інші альбоми","https://toloka.to/photos/1810181213212760_f0_0.jpg",20337,"https://www.facebook.com/nmyrna.official/","https://www.youtube.com/watch?v=lqEQITjBG0Q"
"Неизвестность.","Хайпаголик 2","sing228","","19.04.2019","apr","mixtape","hip hop & rap","російська","","*","*","","*","*","*","*","*","Київ","чоловіча","Центр","Інші альбоми","https://i1.sndcdn.com/artworks-000337224099-70cl2f-t500x500.jpg",20338,"https://www.facebook.com/kyivstonerofficial","https://soundcloud.com/kyivstoner/sets/neizvestnost-kh-banger"
"Нумер 482","ДРУ","sing229","","16.11.2019","nov","pop","rock","українська","","*","","","*","*","*","*","*","Одеса","чоловіча","Південь","Інші альбоми","https://rock.ua/rockdb/i/cd/full/1165-dru.jpg",20360,"https://www.facebook.com/numer482/","https://www.deezer.com/en/album/78625912"
"Останній Притулок","Кімната","sing230","*","23.08.2019","aug","rock","rock","українська","","","*","","*","*","*","*","","Київ","чоловіча","Центр","Інші альбоми","https://notatky.com.ua/wp-content/uploads/pritulok-400.jpg",20339,"https://www.facebook.com/oprytulok/","https://soundcloud.com/oprytulok/sets/kmnata"
"Павел Игнатьев","Колокола души","sing231","","24.05.2019","may","modern classic, jazz, improvisations","instrumental","немає","-","*","","","*","*","*","*","*","Київ","чоловіча","Центр","Інші альбоми","https://e-cdns-images.dzcdn.net/images/cover/f7517482ae6d904b096fb24fae76128d/500x500.jpg",20340,"https://www.facebook.com/PavelIgnatyevPavelIgnatev/","https://itunes.apple.com/us/album/%D0%BA%D0%BE%D0%BB%D0%BE%D0%BA%D0%BE%D0%BB%D0%B0-%D0%B4%D1%83%D1%88%D0%B8/1386186256"
"ПИРЯТИН","Атентат","sing232","*","16.02","feb","rock/power country","rock","українська","","*","*","","*","*","*","*","*","Київ","мікс","Центр","Інші альбоми","https://upload.wikimedia.org/wikipedia/uk/thumb/4/4c/%D0%9F%D0%B8%D1%80%D1%8F%D1%82%D0%B8%D0%BD-%D0%90%D1%82%D0%B5%D0%BD%D1%82%D0%B0%D1%82.png/250px-%D0%9F%D0%B8%D1%80%D1%8F%D1%82%D0%B8%D0%BD-%D0%90%D1%82%D0%B5%D0%BD%D1%82%D0%B0%D1%82.png",20341,"https://www.facebook.com/PyryatynGurt/","https://soundcloud.com/pyryatyn/sets/atentat-1"
"правила поведения с пьяным мужем","том III","sing233","","10.01.2019","jan","indie","indie","російська","","","*","*","","","","*","","Львів","чоловіча","Захід","Інші альбоми","https://www.neformat.com.ua/images/imagecache/material_680w/releases/q0v-ucixf_g.jpg",20402,"","https://soundcloud.com/drunkhusband/sets/pravila-povedeniya-s-pyanym-muzhem-tom-iii"
"Псючий Син","ТОРБА","sing245","*","18.09.2019","sep","rap","hip hop & rap","українська","eng","","*","*","","","","*","","Калуш","чоловіча","Захід","Long list","https://f4.bcbits.com/img/a4210461279_16.jpg",20342,"https://www.facebook.com/%D0%9F%D1%81%D1%8E%D1%87%D0%B8%D0%B9-%D0%A1%D0%B8%D0%BD-577424929319147","https://soundcloud.com/doggyson235/sets/2018-prod-by-angelo-porter"
"Руки'в Брюки","Jumpin' & Humpin'","sing234","","27.12.2019","dec","Rock-n-roll","r&b and soul","англійська","","","","*","*","*","*","","*","Київ","чоловіча","Центр","Long list","https://f4.bcbits.com/img/a1274563867_16.jpg",20365,"https://www.facebook.com/rukivbryuki.rvb/?__tn__=K-R&eid=ARAFechcO1tfhUmivdIXlWOCSwLDsPloBpRJGPOED8PfI4PYf7kuFoD0rpZc-RUlWjvY1QPscbB5TVzJ&fref=mentions&__xts__%5b0%5d=68.ARB7T33jP-AvEVpsCN21hixV60nX7XhkqnpJUoqVpeYT3uTpnc5l-aCNHUJ_DbhcEn_KQwXFHftpNCdtbcdX7ZZgXxeCQ_xLn3fS6YD9M84_bLFwPnnLScZcyBtv37SyhnkswkmNCZ3DXV_PiZFIwYvTkLKJo0fs4vj45slK4TJAG3jyB4idQBpMzfsKFY7stpl9rg","https://rukivbryuki.bandcamp.com/album/jumpin-humpin?fbclid=IwAR3X1ykZp9d7yECsifAtKk2-VyhQ2zu3xcN9VzXPodp6QsFHPgsMQqIuQlU"
"Сергій Бабкін","Музасфера","sing246","","01.10.2019","oct","pop","pop","українська","","*","","","*","*","*","*","*","Харків","чоловіча","Схід","Інші альбоми","https://m.clutch.ua/wp-content/uploads/2018/10/39370556_256876758490031_6442726530342124189_n.jpg",20343,"https://www.facebook.com/babkin.official/","https://itunes.apple.com/album/id1436122526"
"Січгарт","Честь та Кров","sing235","","13.11.2019","nov","cossaks thrash / death metal","metal","українська","","*","","*","*","*","*","*","*","Київ","чоловіча","Центр","Інші альбоми","https://f4.bcbits.com/img/a1427614514_10.jpg",20373,"https://www.facebook.com/Sichgart/","https://sichgart.bandcamp.com/album/--2"
"СКАЙ","Рідкісні птахи","sing247","","01.11.2019","nov","","pop","українська","","*","*","","*","*","*","*","*","Київ","чоловіча","Центр","Інші альбоми","https://upload.wikimedia.org/wikipedia/uk/thumb/a/aa/%D0%A1%D0%BA%D0%B0%D0%B9_-_%D1%80%D1%96%D0%B4%D0%BA%D1%96%D1%81%D0%BD%D1%96_%D0%BF%D1%82%D0%B0%D1%85%D0%B8.jpg/250px-%D0%A1%D0%BA%D0%B0%D0%B9_-_%D1%80%D1%96%D0%B4%D0%BA%D1%96%D1%81%D0%BD%D1%96_%D0%BF%D1%82%D0%B0%D1%85%D0%B8.jpg",20344,"https://www.facebook.com/skaiband/","https://www.youtube.com/playlist?list=PLelAAubckbsfgucClDV5t0fnNy8CU49PH"
"СОЮЗ","Это все совсем не то","sing236","*","19.06.2019","jun","avant-pop / krautpop / fake jazz trio / indie","indie","російська","","*","*","","*","*","*","*","*","Київ, Minsk","чоловіча","Закордон","Long list","https://static.qobuz.com/images/covers/db/uc/uir3j4910ucdb_600.jpg",20387,"https://www.facebook.com/gruppasoyuz/","https://soundcloud.com/masterskayalab/sets/soyuz-eto-vse-sovsem-ne-to"
"СОЮЗ","Это все совсем не то","sing248","*","19.06.2019","jun","avant-pop / krautpop / fake jazz trio / indie","indie","російська","","*","*","","*","*","*","*","*","Київ, Minsk","чоловіча","Центр","Long list","https://static.qobuz.com/images/covers/db/uc/uir3j4910ucdb_600.jpg",20387,"https://www.facebook.com/gruppasoyuz/","https://soundcloud.com/masterskayalab/sets/soyuz-eto-vse-sovsem-ne-to"
"Счастливые люди","Датаизм","sing237","*","10.01.2019","jan","Крипто-поп","indie","російська","","*","*","","*","*","*","*","*","Los Angeles, Київ","мікс","Закордон","Long list","https://i1.sndcdn.com/artworks-000332906001-q2ay4d-t500x500.jpg",20372,"https://www.facebook.com/happyludy/","https://soundcloud.com/masterskayalab/sets/schastlivye-lyudi-dataizm"
"Счастливые люди","Датаизм","sing249","*","10.01.2019","jan","Крипто-поп","indie","російська","","*","*","","*","*","*","*","*","Los Angeles, Київ","мікс","Центр","Long list","https://i1.sndcdn.com/artworks-000332906001-q2ay4d-t500x500.jpg",20372,"https://www.facebook.com/happyludy/","https://soundcloud.com/masterskayalab/sets/schastlivye-lyudi-dataizm"
"Тартак","АнТАРТАКтида. Частина перша","sing238","","30.11.2019","nov","hip hop & rap","pop","українська","","*","","","*","*","*","*","*","Луцьк","чоловіча","Захід","Інші альбоми","https://rock.ua/rockdb/i/cd/full/1177-antartaktida_chastina_persha.jpg",20345,"https://www.facebook.com/TAPTAK/?ref=py_c","https://itunes.apple.com/sg/album/%D0%B0%D0%BD%D1%82%D0%B0%D1%80%D1%82%D0%B0%D0%BA%D1%82%D0%B8%D0%B4%D0%B0-%D1%87%D0%B0%D1%81%D1%82%D0%B8%D0%BD%D0%B0-%D0%BF%D0%B5%D1%80%D1%88%D0%B0/1444315488"
"Тінь сонця","Зачарований Світ","sing250","","01.11.2019","nov","rock","rock","українська","","*","*","","*","*","*","*","*","Київ","чоловіча","Центр","Інші альбоми","https://i1.sndcdn.com/artworks-000432261684-6ljn8e-t500x500.jpg",20346,"https://www.facebook.com/tin.sontsya/","https://soundcloud.com/tinsontsya/sets/zacharovanyj-svit?fbclid=IwAR2B6yN4tsIQ9GmH_p1NhaVqKoOEsunze1TTx7YjVziXDp325GfT3kz-KOc"
"ТНМК","7","sing239","","23.11.2019","nov","","hip hop & rap","українська","","*","","","*","*","*","*","*","Харків","чоловіча","Схід","Long list","https://notatky.com.ua/wp-content/uploads/tnmk-seven-cover-400.jpg",20368,"https://www.facebook.com/TNMKband/?fref=pb&hc_location=profile_browser","https://itunes.apple.com/ru/album/7/1442928820"
"Фіолет","Aurora","sing251","","17.10.2019","oct","rock","rock","українська","","*","*","","*","*","*","*","","Київ","чоловіча","Центр","Інші альбоми","https://notatky.com.ua/wp-content/uploads/aurora-400.jpg",20347,"https://www.facebook.com/fioletband/","https://soundcloud.com/fioletband/sets/aurora"
"Хамерман Знищує Віруси","Лой","sing240","","10.06","jun","punk,cabaret,synthpop ","avant-garde","російська","укр","*","","*","*","*","*","*","*","Суми","чоловіча","Північ","Інші альбоми","https://f4.bcbits.com/img/a1869747531_16.jpg",20348,"https://www.facebook.com/HZVBAND/","https://h-z-v.bandcamp.com/album/--6"
"ХАС","Мегаполіс","sing252","","10.05.2019","may","Hip-Hop, RAP","hip hop & rap","українська","","*","*","","*","*","*","*","*","Львів","чоловіча","Захід","Інші альбоми","http://notatky.com.ua/wp-content/uploads/has-lp-400.jpg",20349,"https://www.facebook.com/13xac/","https://itunes.apple.com/ua/album/%D0%BC%D0%B5%D0%B3%D0%B0%D0%BF%D0%BE%D0%BB%D1%96%D1%81/1377188399"
"Христина Соловій","Любий Друг","sing241","","26.10.2019","oct","Indie Pop","indie","українська","","*","*","","*","*","*","*","*","Дрогобич","жіноча","Захід","Інші альбоми","https://toloka.to/photos/181026121543804752_f0_0.jpg",20350,"https://www.facebook.com/khrystyna.soloviy","https://soundcloud.com/khrystyna-soloviy/sets/liubyi-druh"
"Человек-Животное","Мощи Олдскула","sing242","","27.06.2019","jun","punk rock","rock","російська","","*","*","*","*","*","*","*","","Харків","чоловіча","Схід","Інші альбоми","https://liroom.com.ua/wp-content/uploads/2018/07/image-499x500.jpg",20351,"https://www.facebook.com/groups/humananimal/","https://humananimalband.bandcamp.com/album/--2"
"Ядерна Могила","DODECAGON","sing243","","02.08.2019","aug","Hip-Hop/Rap","hip hop & rap","українська","","*","*","","*","*","*","*","*","Київ","чоловіча","Центр","Інші альбоми","https://www.neformat.com.ua/images/imagecache/material_680w/releases/40619437_2174470662837616_9124433681325228032_n.jpg",20352,"https://www.facebook.com/nuclear.grave.044/","https://soundcloud.com/nuclear_grave/sets/dodecagon"
